,event,title,description
16,31210280645010,Heinz Chapel Choir Holiday Concert -Dec. 6,Dr. Susan Rice leads the famed Heinz Chapel Choir in an inspiring a cappella celebration of the holidays. Tick
17,31210283401350,Heinz Chapel Choir Holiday Concert -Dec. 1,Dr. Susan Rice leads the famed Heinz Chapel Choir in an inspiring a cappella celebration of the holidays. Tickets to these perennially
18,31210324505834,SOLD OUT: Heinz Chapel Choir Holiday Concert -Dec. 8,Dr. Susan Rice leads the famed Heinz Chapel Choir in an inspiring a cappella celebration of the holidays. Tick
19,31210345809642,Heinz Chapel Choir Holiday Concert -Nov. 30,Dr. Susan Rice leads the famed Heinz Chapel Choir in an inspiring a cappella celebration of the holidays. Tick
20,31218643448333,TESSA Talks,"Discussion for students, by students.\nTechnology - Education - Science - Society - Art\n\nCathedral of Learning, floor 35.\nJoin us for pizza & discussion every other Thursday.\n\nTopics"
21,31220194391552,Student Office of Sustainability Holiday Party,Join the Student Office of Sustainability for our sustainable holiday shindi
22,31220282504006,Mentoring Academy | Third Session,"Assessing Equity and Inclusion and Fostering Independence\n\nThis is the third of four sessions in our our fall series of the Mentoring Academy. This session will, through interactive case studies, provide an opportunity to discuss best practices in Assessing Equity and Inclusion (Competency #5) and Fostering Independence (Competency #6) in mentoring relationships. Mentoring Academy members, who are trained faculty recognized for their contributions to mentoring at the University of Pittsburgh, will facilitate the session. Participants can attend one session or attend all four sessions to complete all eight competencies and earn a credential. The Mentoring Academy builds upon the curriculum provided through the National Research Mentoring Network.\n\nObjectives:\n\nImprove and expand understanding of equity and inclusion and how diversity influences mentor-m"
23,31220355398268,Mentoring Academy | Fourth Session,Promoting Professional Development and Articulating Your Mentoring Philosophy and Plan\n\nThis is the fourth and final session of the fall series of the Mentoring Academy. This session will provide an opportunity to discuss best practices in Promoting Professional Development (Competency #7) and Mentoring Academy
24,31220492882026,Creative Arts Ensemble,Free\n\nNicole Mitchell Gantt leads this interd
25,31220731672285,African Music and Dance Ensemble,The Pitt African Music and Dance Ensemble (PAMDE) presents energetic performances
26,31220791250979,Men's Glee Club Holiday Concert,Richard Teaster directs the Pitt Men's Glee Club i
27,31220881257238,Undergraduate Summer Research in STEM - National Opportunities,"Learn about a undergraduate scholarships & fellowships that'll give you experience in world-leading labs and institutions.  \n\nScholarship Mentor Dave Fraser from Pitt's National Scholarships Office will talk about the variety of opportunities, and how to craft "
28,31220909282472,Women's Choral Ensemble Holiday Concert,Celebrate the holidays with the Women's Choral Ensemble as 
29,31254994523714,Marilyn Nelson's Masterclass on the Sonnet,N
30,31255043036416,Sonia Sanchez and Marilyn Nelson,"Presented in partnership with Pittsburgh Arts and Lectures and the Carnegie Library.\n\nReading and conversation with Marilyn Nelson, author or translator of seventeen poetry books and the memoir How I Discovered Poetry, and winner of the Robert Frost Medal and Guggenheim and NEA f"
31,31255074211716,Co-lab: Marilyn Nelson shares work in progress,Includes responses form students in the course
32,31255323153549,Single Cell RNA-Seq,"This is a 4-hour workshop on the techniques, platforms, and methods used in analyzing single cell RNA-Seq data (scRNA-Seq). The morning session (10am - 12pm) starts with a presentation from the Genomics Research Core on best practices in sample handling, followed by an overview of the basic steps involved in scRNA-Seq data analysis. The afternoon session (1pm - 3pm) focuses on hands-on practice using HSLS-licensed Partek Flow software.\n\nRegistration is required. Please click here to register.\n\n \n\nClass Details:\n\nParticipants will learn how to\n\nimport the FASTQ files from scRNA-Seq experimentsperform quality checks (QC) and trim tagsalign the reads to a reference genomeperform deduplication of UMIs and Filter cell barcodes perform quantification and generate a single cell count matrixperform single cell QC and generate t-SNE plotsclassify cell typescompare gene expression between cell typesperform trajectory analyses \n\nTarget Audience:\n\nExperimental"
33,31255431753097,Pathway Enrichment Analysis--IPA & MetaCore,"This is a 4-hour workshop. The morning session (10am - 12pm) provides a brief overview of bioinformatics concepts and software used for interpreting a gene list using pathway and network information. The afternoon session (1pm - 3pm) focuses on hands-on practice using 3 HSLS-licensed tools--Correlation Engine, Ingenuity Pathway Analysis (IPA), and MetaCore.\n\nRegistration is required. Please register here.\n\n \n\nClass Details:\n\nParticipants will learn how to\n\nretrieve a list of differentially expressed genes (DEG) associated with a gene expression study by searching GEO using Correlation Engineuncover the biology hidden behind the extracted DEG list by searching protein-protein interactions and literature-curated gene/protein knowledgebases using IPA and MetaCoreidentify the most statistically significant pathways (signaling/metabolic), Gene Ontology terms, regulatory networks, and causal relationships associated with a gene listTarget Audience:\n\nExperimental biologists working with human, mouse, or rat tissues and seeking to interpret gene lists generate"
34,31255433242755,Provost's Office Hours,"Provost Ann Cudd is holding monthly office hours for all faculty, staff, and students. She invites you to use this forum as an opportunity to meet with her direct"
36,31255453785473,Bulk RNA-Seq,"This is a 4-hour workshop on the techniques, platforms, and methods used in analyzing bulk RNA-Seq data. The morning session (10am - 12pm) starts with a presentation from the Genomics Research Core on best practices in sample handling, followed by an overview of the basic steps involved in bulk RNA-Seq data analysis. The afternoon session (1pm - 3pm) focuses on hands-on practice using HSLS-licensed CLC Genomics Workbench software.\n\nRegistration is required. Please register here.\n\n \n\nClass Details:\n\nParticipants will learn how to\n\naccess the CLCbio Genomics Server hosted on the HTC Cluster by Pitt CRCmport RNA-seq FASTQ reads from a GEO datasetassess quality of RNA-seq dataalign reads to a reference genomeestimate known gene and transcript expressionperform differential expression analysisdiscover novel isoformsTarget Audience:\n\nExperimental biologists seeking to analyze bulk RNA-Seq data generated through experiments or retrieved from a repository such as GEO. The software covered in the workshop operates through a user-friendly, point-and-click graphical"
37,31255525569912,Gene Expression Visualization,"This 3-hour hands-on workshop introduces powerful and intuitive gene-expression data visualization tools embedded in the HSLS-licensed Partek Flow software. Learn how to generate publication quality graphics such as PCA, feature distribution and sample correlation plots, volcano plots, dot plots, scatter plots, and heatmaps.\n\nRegistration is required. Please register here.\n\n \n\nTarget Audience:\n\nExperimental biologists seeking to analyze RNA-Seq data generated through experiments or retrieved from a repository such as GEO. The software covered i"
38,31255541225623,Genetic Variation,"This is a 4-hour workshop. The morning session (10am - 12pm) provides a brief overview of human genetic variations and cancer mutations. The afternoon session (1pm - 3pm) focuses on hands-on identification of variants using HSLS-licensed CLC Genomics Workbench and introduces various genetic variation databases (dbSNP, ClinVar, OMIM, DGV, PheGenI, HGMD, Correlation Engine, COSMIC, Broad Tumor Portal, gnomAD Browser, RegulomeDb). The workshop also teaches how to use bioinformatics tools for functional analysis of mutations and covers web tools such as EBI Variant Effect Predictor and PredictSNP2.\n\nRegistration is required. Please register here.\n\n \n\nTarget Audience:\n\nExperimental biologists seeking to identify ge"
39,31256262965072,Flu Shot Clinic - William Pitt Union,"Flu shot season is here! All faculty and staff, as well as their dependents, are encouraged to obtain a flu shot to help you stay healthy throughout the winter months. In particular, faculty and staff who work in health sciences, or have any type of exposure to patients, should consider the vacc"
40,31256517361717,Walk-In Flu Shots at Falk Pharmacy,"Flu shot season is here! All faculty and staff, as well as their dependents, are encouraged to obtain a flu shot to help you stay healthy throughout the winter months. In particular, faculty and staff who work in health sciences, or have any type of exposure to patients, should consider the vaccination.\n\nWalk-in flu shots are available at Falk Pharmacy throughout the fall. From September 10 - November 26, 2019, visit Falk Pharmacy o"
41,31261906155674,Basic EndNote,"Interested in EndNote but don't know where to begin? This hour long class will get you started importing, annotating, and o"
42,31261953597878,Advanced EndNote,"This hands-on class will show you how to use more advanced features of EndNote, including adding and editing citation styles, using filters and Smart Groups,"
43,31262632649760,Version Control,"In this coffee break, learn the basics of version control and how it helps keep your work safe and reliable. We'll cover how Github, Google Drive, and Box track the changes you or your collaborators make to uploaded files, and how tha"
44,31262653646194,Zen: Effective Visuals and Design,"Want to create presentations with effective visuals and design? Learn to use evidence about how people see, listen, and learn to captu"
45,31262668832117,Exploring and Cleaning Data with OpenRefine,"OpenRefine (formerly Google Refine) is a powerful, free, open source, tool for working with messy tabular data.  It runs offline in a web browser and allows for reproducibility in data cleaning. This hand-on workshop will walk participants through how to create a new project, explore the data through sorting, filtering, and faceting functions, c"
46,31262682261441,Bioinformatics Data Analysis: Options 4 Rigor,"Do you have data that require bioinformatics analysis?  Are you concerned about scientific rigor and reproducibility? Come learn about the ""4 C's"" available to Pitt researchers"
47,31262700445150,Infographics: Sharing Information Visually,"Make your raw data more appealing and consumable with infographics. In this class, you'll learn what infographics are and how they can make data easier to understand and shar"
48,31262718419408,Hands-on Git,"In this hands-on workshop, learn how to manage your work with the version control system Git. Git helps keep your files safe from accidental deletion, tracks who made what change when, and lets multiple people work on the same project without overw"
49,31262738099863,Share Data with the Pitt Data Catalog,"In this coffee break, learn how to advertise your data in the Pitt Data Catalog to help increase the reproducibility of your research, without having to make it completely public.\n\nT"
50,31264576435503,Six Word Stories Part Two: Reception and Reflection,"After the initial Six Word Stories workshop on November 4, all of the inidividual stories will be collected and displayed in Hillman Library as a temporary, interactive installation in a high-traffic area within Hillman Library. Explanatory signage as well as notecards and pens will accompany the installation inviting passersby to 1) observe the existing statements, and 2) add their own statements to the installation. The installation will remain in place for two weeks, growing and evolving as more people contribute their ideas.\n\nAt the conclusion of the two-week long installation period, the six-word stories will again be collected and re-displayed within a large gathering space in Hillman Library for a gathering on November 14 open to all members of the University community. anu jain and a team of facilitators from Inclusant will return to campus to lead participants in a broader conversation, helping to identify the issues/themes/concerns that emerge"
51,31274718999756,Pitt-Greensburg: All of Us Research Program,"On Monday, November 18, representatives of the All of Us Pennsylvania, in coordination with the University of Pittsburgh, will be on campus conducting visits with individuals participating in the nationwide All of Us Research Program.  The All of Us Research Program is a historic effort to gather data from one million or more people living in the United States to accelerate research and"
52,31280318111812,Teaching Partners November Meeting ,The Teaching Partners is a faculty community that engages faculty who use the Teaching Center's resources to support and enhance their teaching practice. Partners discuss practical ideas and strategies related to pedagogy research and educational technologies. The community convenes twice per term and special guests are often invited to discuss specific
53,31280612443302,Pitt-Bradford Admissions Open House,See the campus and learn more about us along with groups of other students and their families. Registration and time to meet faculty members begins at
54,31307276637384,IRB 101 for Greater than Minimal Risk Studies,"This session will provide new researchers with the basic skills to manage a study that will be submitted for IRB committee review.  Attendees will learn about the role and responsibilities of the IRB, submission and review process, and regulatory issues commonly encountered with greater than minimal risk studies. This session will focus on the full board review process and include an introduction on the use "
55,31325147775048,Experience Virtual Reality with The Open Lab @ Hillman,"Are you curious about virtual reality, how it works, what experiences are available, and how it can be used for both fun and as an educational tool? Join Open Lab @ Hillman for an overview of this exciting technology. Participants will discuss ethical concerns, experience a handful of representational VR games, and use a variety of hardware availabl"
56,31325191144817,360 Degree Video Workshop: The Open Lab @ Hillman,"In this hands-on workshop, participants learn to create 360� videos. Upon completing the first hour of the workshop, participants are authorized to independently borrow 360� cameras. The second hour allows participants the option to briefly film and edit their footage with help and feedback from the instructor. Laptop recommended but not"
58,31325209146328,3D Printing Workshop: The Open Lab @ Hillman,"During this interactive workshop, participants learn the basics of 3D printing by examining current technologies, using online resources to find and generate 3D models, and following the steps of the printing process from start to finish. Participants will acquire the knowledge and confidence required to proceed to cr"
60,31325212767551,Community Engaged Scholarship Forum,"Hosted by the Offices of the Provost and the Senior Vice Chancellor for Engagement, the Community Engaged Scholarship Forum is a day-long opportunity to learn about and discuss community engagement activities at the University of Pittsburgh. The theme of this year's forum is Progress through Partnerships"
61,31335521726058,Brand Briefings,"Brand briefings are 20-30 minute presentations about the branding initiative including the research and discovery phase, as well as our brand drivers and visual language. The presenter wil"
62,31343002927541,Music on the Edge: TAK Ensemble,Free\n\nNew York-based new music ensemble TAK will pres
63,31343079571004,Music on the Edge: Duo Cortona,Co-presented with The Andy Warhol Museum\n\nDuo Cortona is a contemporary music ensemble dedicated to the creation of works for its unique instrumentation
64,31344018329478,Beyond Microtonal Music Festival: Guitarist John Schneider and Brightwork newmusic ,"Co-presented with The Andy Warhol Museum\n\nGrammy award winning guitarist, composer, author and broadcaster John Schneider performs music by Lou Harrison and his ow"
65,31344214091263,Beyond Microtonal Music Festival: Symposium Session,"Leading composers, performers, and theorists p"
66,31344261302424,Beyond: Microtonal Music Festival: Microtonal Pittsburgh,"Free\n\nMicrotonal music performed by Alia Musica, Kamrato?n, NAT 28, L"
67,31344353414486,Beyond Microtonal Music Festival: Ray-Kallay Duo and Mikro Ensemble,"Co-presented with The Andy Warhol Museum\n\nRay-Kallay Duo from LA performs music for microtonally tuned pianos by Jason Barabba, Nick Norton, Mathew "
68,31344482886267,Beyond Microtonal Music Festival: Pre-concert Symposium and Concert,"Co-presented with The Andy Warhol Museum\n\nThe final events of Beyond are a symposium followed by a concert featuring FretX Guitar Duo (Mak Grgic and Daniel Lippel, guitars) performing music by Agust�n "
69,31377534819042,Jewelry Making with The Open Lab @ Hillman,"Bracelet with Custom 3D Printed Beads\n\nDuring this interactive workshop, participants learn to create their own unisex jewelry and use a color wheel to find combinations to make their creations stand out. Registered attendees may also attend an optional multi-color bead making session in Open Lab's Alumni Hall location the week before the main workshop, where they will learn to use a 3D printer to create personalized items. All supplies provided "
70,31378122374083,Dawn Gideon Lecture: Social Determinants of Health: How Organizations are using SDoH to Reduce Health Disparities,"A panel moderated by Ebbin Dobson, assistant professor of health management and policy, University of Michigan School of Public Health and featuring Melinda Buntin, Mike Curb Professor of Health Policy and Chair, Department of Health Policy, Vanderbilt University School of Medicine, Maureen Hydok, Healthcare Sr. Director, Huron Consulting Group, Thuy Bui, Associate Professor of Medi"
71,31387733374140,Community Dinner and Conversation,"The Community Engagement Center in Homewood hosts a regular community dinner and conversation. This is  a chance for the community to meet CEC staff, tour the space, and learn about center pro"
72,31388218229014,"ClinicalTrials.gov: Background, Requirements & Process ",This session will provide an overview of the regulations and policies governing the online registration of clinical trials and results on the ClinicalTrials.gov website.\n\nTopics addressed in this session will include:\n\nBrief overview of the history behind ClinicalTrials.gov
73,31388235545376,Biomaterials for Soft Tissue Defects,"As part of the McGowan Seminar Series Dr. Rosalyn Abbott & Megan DeBari will present their talk titled, 'Biomaterials for Soft Tissue Defects.' \n\nThe McGowan Seminar Series is sponsored by the McGowan Institute for Regenerative Medicine and was created to give a forum for investigators, post-doctoral fellows, and graduate students s"
74,31388254837841,The Good and Bad of Regenerative Biology of Liver,"As part of the McGowan Seminar Series Dr. George Michalopoulos & Nicole Martucci will present their talk titled, 'The Good and Bad of Regenerative Biology of Liver.' \n\nThe McGowan Seminar Series is sponsored by the McGowan Institute for Regenerative Medicine and was created to give a forum for investigators, post-doctoral fellows, and graduate"
75,31388294491520,Rolling Up Our Sleeves to Understand and Treat Motor Deficits after Stroke,"As part of the McGowan Seminar Series Dr. Doug Weber & Ernesto Bedoy will present their talk titled, 'Rolling Up Our Sleeves to Understand and Treat Motor Deficits after Stroke.' \n\nThe McGowan Seminar Series is sponsored by the McGowan Institute for Regenerative Medicine and was created to give a forum for investigators, post-doctoral fellows, and g"
76,31388310030526,Regulation of Hippo Signaling during Liver Injury and Regeneration,"As part of the McGowan Seminar Series Dr. Dean Yimlamai & Meghan Mooring will present their talk titled, 'Regulation of Hippo Signaling during Liver Injury and Regeneration.' \n\nThe McGowan Seminar Series is sponsored by the McGowan Institute for Regenerative Medicine and was created to give a forum for investigators, post-doctoral fellows, and gra"
77,31388943605481,2019 Supply Chain Management Symposium,Supply Chains 20/20\n\nThe 2019 Supply Chain Management Symposium will provide insights into managing contemporary supply chains. Our Invited Speakers will present and lead discussions that explore key supply chain activities
78,31396861717640,Block Party: A Lego Building Competition,"A late night Lego building competition. Students can sign up solo or as a team of 2 - 3 people. Students who'd like to participate as a team have to sign up individually at the ticket office. Tickets are free but limited to 50 registrations. Prizes will be given for best solo work, best team work, and best Pitt pride. Sign-ups wi"
79,31440687305868,"Of Shores and Waves, and Marine Tales: Islands, Oceans, and Fallacies of Colonial Geographies in the Indian Ocean","While colonial imagination has persistently represented islands and archipelagoes of the Global South as vulnerable and fragmented isolates, one needs only consider Creole islands of the Mascarene region and the Antilles to appreciate how 'insular' histories and experiences relate more to stories of exchanges and encounters than one would initially imagine. Using the New Thalassology and Kamau Brathwaite's notion of \""tidalectics\"" as a relational framework for exploring multipolar connections, minor solidarities, and long-ignored forms of cosmopolitanism, this presentation discusses"
80,31440709285669,Creative Approaches to Animality ,Intervention during Grad S
81,31441670521921,Developing a Teaching Philosophy Statement,"A teaching philosophy statement is a concise, compelling illustration of you as an instructor, a useful exercise in reflexive examination of your teaching, and a necessary component of many academic job applications. This workshop will give those just beginning to write a teaching philosophy statement a place to start and tools with which to move forward. Students who have developed teaching philosophy statements in the past will take a fresh look at those and implement effective revisions.\n\nCreate a compelling, concise statement which reflects their unique values as an instructorArticulate teaching objectives"
82,31441763745632,Teaching Inclusively,"This workshop introduces several principles of inclusivity and offers practical advice for fostering an inclusive university environment through your teaching. Through discussion and workshop exercises, learn how promoting and practicing inclusivity can improve learning outcomes and your relationship with your students, and how the two are closely related. This workshop will also address ways to effectively articulate your philosophy of inclusion in teaching on job applications and in interviews.\n\nRegistrati"
83,31442230515344,The Urban Environmental Imaginary of Haitian Writers,"The Environmental Humanities welcome John Walsh (Pitt, French and Italian) for a colloquium to discuss his written work. There will be a prepared response by Noah Theriault (CMU, Anthropology). \n\nHaitian literature has long offered complex stories that fill voids left by reductive reports and images of Haiti propagated by all manner of media in the West. In this way, the literary imaginary is a witness to the diversity of Haitian lives. Yet, as Eric Prieto and Bertrand Westphal have argued, more than static representations of the world, literature and other aesthetic forms participate actively in the production of space. The literary text interrogates the ways in which public and private spaces are defined and manipulated by ideological forces, especially in the age of unbridled neoliberalism. Drawing on the insights of the so-called ""spatial turn"" in literary studies, as well as postcolonially-minded approaches to the environmental humanities, this paper examines the mapping of Haitian spaces, and in particular the urban environmental imaginary, in Yanick Lahens's latest novel, Douce d�routes (2018). My analysis takes as a point of departure the fictional reprise of a marketing campaign in Haiti, in early 2015, by Audi, the German automaker. What happens to the advertisement when it reappears in the pages of t"
84,31449300348455,Box Basics: Getting Started with Cloud Collaboration,"Learn how to access, edit, store, share, and comment on files online - for real-time cloud collaboration - fro"
85,31449382245307,DocuSign Basics: Gather e-Signatures and Manage Document Workflow,"Attend this hands-on introductory session to learn how to electronically send, "
86,31449430527622,IT Security: Protecting Yourself and the University from Cyber Threats,"Pitt Information Technology has a robust array of security measures and centralized security controls to protect the University's network and data, but we also need your help. Everyone affiliated with Pitt shares"
87,31449471029349,Microsoft Excel 2019: Unleash the Power of Pivot Tables,Explore how to use Microsoft Excel Charts and the PivotTables 2019 feature to concisely summarize and manage large amounts of data for eas
88,31449589832539,"Microsoft Office 2019: Word, Excel, and PowerPoint Quick Start","Three essential tools; one helpful class. Create, format, and edit Word documents. Format Excel spreadsheets and w"
89,31449601842898,Microsoft Outlook 2019: Organize Your Inbox,Take advantage of quick tips to manage and organize your email. We'll also 
90,31449808761734,Microsoft PowerPoint: Punch Up Your Presentation,"A dynamic presentation begins with sound fundamentals. Learn how to format slides,"
91,31449983233282,Qualtrics Basics: Create Your Own Online Surveys,"Pitt's Online Survey System (Qualtrics) allows you to easily create and distribute surveys, collect data, analyze responses, and present results using professional-quality graphs. Learn how to "
92,31449994642870,Qualtrics Next Steps: Do More with Online Surveys,For staff who are interested in taking their skills using Pitt's Online Survey System (Qualtrics) to the next level. Participants in this hands-on session will use Qua
94,31450717770775,An Anthropology of Aegean Bronze Age Art ,"The Aegean Bronze Age is famous for its striking artefacts, such as the gold death masks of Mycenae, the faience snake goddesses of Knossos, or the wall paintings from Thera. However, while such riches elicit awe among museum-goers, archaeologists have been largely turning their attention instead to more mundane artefacts"
95,31458627570765,PPAC: John McEuen & The String Wizards,"ohn McEuen has been a ""professional performer"" since 1962 with a long career - "
96,31458749371368,PPAC: Walt & Jackie Hometown Holidays,Walt Churchey & Jackie Kopco in a Hometown Holiday Concert is an ent
97,31458764610662,PPAC: River City Brass Band's Christmas Brasstacular ,Over the years the River City Brass Band's Christmas Brasstacular show has
98,31458781739420,PPAC: Jim Brickman Christmas Celebration,"im Brickman, the best-selling piano artist of our time, returns to wow t"
99,31458926355057,Faculty Development Workshop: Me? Bias?,"Sponsored by the Office of the Provost, this professional development offering for faculty members will feature Ann Thompson, MD, MCCM, Vice Dean, School of Medicine\n\nRegister h"
100,31466718400624,Perspectives on Afro-Latinxs Exhibition,"This will be an exhibition and reception showcasing the final projects from the course, \""Afro-Latin"
101,31466775477210,Shopping for Healthcare: Can We Be Good Consumers?,"Barak Richman, JD, PhD\nBartlett Professor of Law and Busines"
102,31466789147312,"Did Testosterone Cause the Crash of 2008? Science and Myths of Gender, Social Class, and Risk","Rebecca Jordan-Young, PhD\nTow Associate Professor for Distinguished Scholars\nChair of Women's, Gender, and Sexu"
103,31466807199770,"Genomic Sequencing in Primary Care: Ethical Issues, Professional Responsibilities (tentative title)","Amy Lynn McGuire, JD, PhD\nLeon Jaworski Professor of Biomedical Ethics and Director\nCenter for Medical Ethics and Health Policy\nBaylor College of Medicine\n\nProfessor McGuire will be giving three talks during"
104,31467024124639,Cultural Humility in Counseling Workshop,"The University of Pittsburgh Clinical Rehabilitation and Mental Health Counseling Graduate Program will be holding an interactive workshop on Cultural Humility in Counseling. The undergraduate level workshop will be led by faculty of the University of Pittsburgh Counseling Program. Lunch and refreshments will be provided!\n\nWhen counseling clients from different cultures, too often, counselors feel paralyzed by the fear that they don't know enough to effectively counsel someone different from themselves. Cultural Humility is the process of being other-oriented, self-reflective, and having a lack of superiority toward an individual's cultur"
105,31468122728117,Fysshynge Wyth an Angle,"Give me mine Angle, we'll to the 'River,"" Berners, Shakespeare, Foster, & Rinehart"
106,31492979422898,Understanding Risk Factors for the Development of Psychosis: Early Findings from the Adolescent and Brain Cognitive (ABCD) Study,"The Department of Psychiatry welcomes Deanna Barch, PhD from Washington University on November 8, 2019 as the featured speaker for our Distinguished Scientist Lecture series.  Dr. Barch is Professor of Psychological & Brain Sciences, Psychiatry, and Radiology and serves as Chair of the Department of Psychological & Brain Sciences.\n\nDr. Barch's research focuses on understanding normative patterns cognitive function and brain connectivity and the mechanisms that give rise to the challenges in behavior and cognition found in illnesses such as schizophrenia and depression, utilizing psychological, neuroimaging and computational approaches. She is Chair of the Department of Psycholo"
107,31493347952427,Nurse Practitioner Education and Training: Responding to a Changing Health Care Landscape,"Grant  Martsolf, PhD, MPH, RN, FAAN, professor, and UPMC Chair in Nursing Science, will present. His talk will focus on the changing role of nurse practitioners related to trends in health care delivery, finance, and policy; how nurse practitioner education has respond"
108,31502522131307,To Those Who Grasp It: Responding to October 27,"On October 27th, 2018, a white supremacist killed eleven worshipers at the Tree of Life - Or L'Simcha, Dor Hadash, and New Light Congregations in the Squirrel Hill neighborhood of Pittsburgh, Pennsylvania. In r"
109,31502547097136,Curiosity Hours,Let one of our Undergraduate Mentors treat you to a cup of coffee while you chat about researc
110,31511079886882,"'Combee': Harriet Tubman, the Combahee River Raid, and Civil War Transformation of the Gullah Geechee","The \""Commemorating 1619\"" lecture series presents Dr. Edda Fi"
111,31512829780466,Pitt-Johnstown Fall Reading Series: Mark Nieson nonfiction,"Mr. Nieson is the author of Schoolhouse, a memoir set in Iowa.  His creative prose has appeared in Triquarterly, Tahoma Literary Review, Folio, Conjunctions, Green Mountain"
112,31519466720198,"Testosterone and Human Aggression: Methods and Narratives that Link Race, Class, Gender, and Violence ","The Humanities Center Visiting Fellow, Rebecca Jordan-Young (Barnard College, Women's Gender, and Sexuality Studies) will be giving a Thursday co"
113,31519494383984,"Did Testosterone Cause the Crash of 2008? Science and Myths of Gender, Social Class, and Risk",Please join the Humanities Center for a lecture from Visiting Fellow Rebe
114,31519551981818,"The Print Sublime: Global Scripts, Typewriter Technology, and the Material History of Writing","Join the Humanities Center at our Thursday colloquia. Raja Adal (Pitt, History) will discuss his written work, prepared responses by several faculty experts on the topic and then an open discussion among the participants and the audience. The respondents will be Annette Vee (Pitt, English) and Chris Warren (CMU, English).\n\nThe first section of this paper provides a background for the print sublime by discussing the global script regime, namely the distribution of different scripts across the world, in relation to the increasing use of printed text that came with the commer"
115,31519598090648,LGBTQ+ Civil Rights: Local Government Efforts in a Volatile Era,"The Brown Bag Seminar, University Center for Social and Urban Research will host guest speaker, Nicole M. Elias, Ph.D. ,  John Jay College of Criminal Justice from the City University of New York.\n\nLGBTQ+ issues in local governance pose some of the most pressing civil rights challenges in the current U.S. context. This analysis provides insight into what is taking place in major municipalities and how these efforts can be improved to bolster equity for LGBTQ+ populations. At a time when identity, language, and public sector values are inherently intertwined and constantly changing, the following question is r"
116,31520473053109,Researchers' Writing Group,Join the Researchers' Writing Group - this voluntary writing program is open to all faculty. The program will provide a space for interested faculty to meet weekly for a three-hour block on Friday afternoons. The time will be dedicated solely to research 
117,31521100475963,PEXT Brown Bag Lunch & Learn - Fall 2019,Bring your lunch and join the PantherExpress Travel & Expense Management team for a brown bag lunch and learn training s
118,31528513674299,Pitt-Greensburg: Christian Fellowship Club Lunch,"Members of the Christian Fellowship Club (CFC) meet every Monday and Thursday for food, friends, and good conversation. If you're looking for an event that's fun, laid-bac"
119,31528561734212,Pitt-Greensburg: Academic Village Senate Meetings,Share your ideas with the Academic Village Senate
120,31528620637402,Pitt-Greensburg: La Femme Meeting,Are you interested in issues affecting women and equality for all? \n
